No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Register Compositions with Explicit Metadata,"Every video must be registered via <Composition> inside RemotionRoot with explicit id, durationInFrames, fps, width, and height. Remotion cannot infer video length or dimensions from CSS or component render output the way a browser page can.","Set durationInFrames, fps, width, height explicitly on every <Composition>",Omit dimensions or duration and expect Remotion to infer them from rendered DOM size,"<Composition id=""MyVideo"" component={MyVideo} durationInFrames={150} fps={30} width={1920} height={1080} />","<Composition id=""MyVideo"" component={MyVideo} /> // missing fps/duration/dimensions — registration throws",Critical,https://www.remotion.dev/docs/composition
2,Setup,durationInFrames Equals fps Times Seconds,"durationInFrames is a frame count, not milliseconds or seconds. Compute it as fps * desiredSeconds so the video length stays correct if fps changes later.",Derive durationInFrames from fps and a seconds constant,Hardcode an arbitrary frame count disconnected from fps,const fps = 30; const seconds = 5; <Composition fps={fps} durationInFrames={fps * seconds} .../>,<Composition fps={30} durationInFrames={90} .../> // 90 assumed to be 3s but silently wrong if fps changes to 60,High,https://www.remotion.dev/docs/composition
3,Animation,useCurrentFrame Is the Single Source of Truth for Time,"All motion must derive from useCurrentFrame(). Remotion renders each frame independently in a headless browser, so wall-clock time, setTimeout, and requestAnimationFrame do not exist during rendering and produce blank or frozen output.",Read the frame from useCurrentFrame() and compute every animated value as a pure function of it,"Drive animation with requestAnimationFrame, setInterval, or Date.now()",const frame = useCurrentFrame(); const x = frame * 2; return <div style={{ transform: `translateX(${x}px)` }} />;,"useEffect(() => { requestAnimationFrame(loop); }, []); // no-op during server-side frame capture — video renders static",Critical,https://www.remotion.dev/docs/use-current-frame
4,Animation,interpolate for Frame-Driven Value Mapping,Use interpolate() to map the current frame to any numeric CSS or style value. Always pass extrapolateLeft/extrapolateRight: 'clamp' unless you deliberately want values to overshoot past the input range.,Clamp interpolate() output so values never overshoot before or after the defined frame range,Leave extrapolate unset and let values shoot into negative or oversized ranges outside the animated window,"const opacity = interpolate(frame, [0, 30], [0, 1], { extrapolateLeft: 'clamp', extrapolateRight: 'clamp' });","const opacity = interpolate(frame, [0, 30], [0, 1]); // frame 60 gives opacity 2 — invalid CSS value",High,https://www.remotion.dev/docs/interpolate
5,Animation,spring() for Physics-Based Motion,"Use spring() instead of CSS easing curves for natural bounce and overshoot. spring() is deterministic given fps and frame, so it renders identically every time unlike CSS transitions which depend on real elapsed time.","Drive bouncy or elastic motion with spring({ frame, fps, config })","Approximate spring motion with a cubic-bezier CSS transition — it depends on wall-clock time, not frame number","const scale = spring({ frame, fps, config: { damping: 12, stiffness: 100 } });","style={{ transition: 'transform 0.5s cubic-bezier(.34,1.56,.64,1)' }} // driven by real time, not frame — breaks in rendered output",High,https://www.remotion.dev/docs/spring
6,Composition,Sequence for Time-Shifting Children,"Wrap a child component in <Sequence from={n} durationInFrames={m}> to delay its start and bound its lifetime. Inside a Sequence, useCurrentFrame() is automatically re-based to start at 0 for that child.",Use <Sequence from={} durationInFrames={}> to time-shift and bound child components,Manually subtract an offset from the parent frame inside every child to fake sequencing,<Sequence from={30} durationInFrames={60}><Title /></Sequence> // Title's useCurrentFrame() starts at 0 when parent frame hits 30,"const frame = useCurrentFrame(); const localFrame = frame - 30; if (localFrame < 0) return null; // reimplements Sequence manually, error-prone",Medium,https://www.remotion.dev/docs/sequence
7,Composition,AbsoluteFill for Full-Frame Layered Layouts,"Use <AbsoluteFill> to stack full-bleed layers (backgrounds, overlays, captions) without manually writing position:absolute, top:0, left:0, width:100%, height:100% on every layer.",Stack full-canvas layers with <AbsoluteFill> and let flex props position content within each layer,Hand-write repetitive absolute positioning CSS for every full-frame layer,<AbsoluteFill style={{ backgroundColor: 'black' }}><AbsoluteFill style={{ justifyContent: 'center' }}><Title /></AbsoluteFill></AbsoluteFill>,"<div style={{ position: 'absolute', top: 0, left: 0, width: '100%', height: '100%' }}>...</div> // repeated on every layer",Low,https://www.remotion.dev/docs/absolute-fill
8,Assets,staticFile for Assets in the public Folder,"Reference any bundled image, font, or audio file with staticFile('name.ext'), never a raw relative path. staticFile() resolves correctly both in the Studio dev server and in the headless render environment, where the working directory differs.",Wrap every public/ asset reference in staticFile(),Use a bare relative path like './logo.png' for a public/ asset,<Img src={staticFile('logo.png')} />,"<img src=""./logo.png"" /> // resolves relative to the wrong working directory during headless rendering",Critical,https://www.remotion.dev/docs/staticfile
9,Assets,Img and OffthreadVideo Instead of Native Tags,"Use Remotion's <Img> and <OffthreadVideo> components instead of native <img> and <video>. They delay frame capture until the asset has actually finished loading/decoding, preventing blank or half-loaded frames in the rendered output.",Use <Img> and <OffthreadVideo> so Remotion waits for the asset before capturing the frame,"Use a native <img> or <video> tag, which Remotion cannot guarantee is loaded before the frame is captured",<Img src={staticFile('hero.png')} /> <OffthreadVideo src={staticFile('clip.mp4')} />,"<img src={staticFile('hero.png')} /> // frame may be captured before the image decodes, producing a blank frame",Critical,https://www.remotion.dev/docs/img
10,Assets,Audio Component for Sound with Volume Automation,"Add sound with <Audio src={...}>, and pass a function to the volume prop (frame => number) to fade or automate volume over time instead of a static number.",Pass a frame-based function to the volume prop for fades and ducking,Try to control audio volume with imperative HTMLAudioElement.volume assignments in an effect,"<Audio src={staticFile('music.mp3')} volume={(f) => interpolate(f, [0, 30], [0, 1], { extrapolateLeft: 'clamp' })} />","useEffect(() => { audioRef.current.volume = 0.5; }, []); // imperative DOM audio API has no effect on headless frame rendering",Medium,https://www.remotion.dev/docs/audio
11,Data,useVideoConfig Instead of Hardcoded Dimensions,"Read fps, width, height, and durationInFrames from useVideoConfig() inside components rather than hardcoding numbers. This keeps a component reusable across compositions with different resolutions or frame rates.",Pull width/height/fps/durationInFrames from useVideoConfig() and compute layout relative to them,Hardcode pixel values or fps assumptions that only match one specific composition,"const { width, height, fps } = useVideoConfig(); const fontSize = height * 0.08;","const fontSize = 86; // only correct for a 1080p composition, breaks when reused at a different resolution",Medium,https://www.remotion.dev/docs/use-video-config
12,Data,delayRender/continueRender for Async Data Before Capture,"When a component needs to fetch data or wait on an async resource before it can render correctly, call delayRender() on mount and continueRender(handle) once the data resolves. Without this the frame is captured before the async work finishes.",Call delayRender() before the async operation and continueRender(handle) in its resolution,Fetch data in a plain useEffect and rely on a re-render happening before the frame is captured,"const [handle] = useState(() => delayRender()); useEffect(() => { fetchData().then((d) => { setData(d); continueRender(handle); }); }, []);","useEffect(() => { fetchData().then(setData); }, []); // frame may be captured with data still null",Critical,https://www.remotion.dev/docs/delay-render
13,Data,Zod Schema Plus defaultProps for Typed Inputs,"Define a zod schema and pass it to <Composition schema={...} defaultProps={...}>. This gives the Studio a typed, validated input-props editor and keeps renderMedia() calls (CLI or API) type-safe.",Attach a zod schema and defaultProps to every Composition that takes input props,"Type input props as `any` or leave the Composition without a schema, losing Studio validation",const schema = z.object({ titleText: z.string() }); <Composition schema={schema} defaultProps={{ titleText: 'Hello' }} .../>,"<Composition component={MyVideo} defaultProps={{ titleText: 'Hello' } as any} .../> // no validation, no Studio editor UI",Medium,https://www.remotion.dev/docs/parameterized-rendering
14,Data,calculateMetadata for Dynamic Duration,"When a video's duration or dimensions depend on input props (e.g. number of slides, fetched data length), implement calculateMetadata on the Composition instead of a fixed durationInFrames.",Return durationInFrames from calculateMetadata based on resolved props when length is data-dependent,Set a fixed durationInFrames and pad or truncate variable-length content to fit it,calculateMetadata={async ({ props }) => ({ durationInFrames: props.slides.length * fps * 3 })},"durationInFrames={300} // fixed regardless of how many slides are actually passed in, cutting content off",High,https://www.remotion.dev/docs/calculate-metadata
15,Determinism,random() Instead of Math.random for Reproducible Output,"Use Remotion's random(seed) instead of Math.random(). Frames can be rendered out of order and in parallel across worker processes; Math.random() would produce different results per frame or per render, causing visible flicker or non-reproducible output.",Seed randomness with Remotion's random(seed) so the same frame always produces the same value,Call Math.random() inside a component that renders per-frame during a parallelized render,import { random } from 'remotion'; const jitter = random(`particle-${i}`) * 10;,const jitter = Math.random() * 10; // different value each render pass — visible flicker between frames rendered in parallel,Critical,https://www.remotion.dev/docs/random
16,Determinism,Components Must Be Pure Functions of the Frame,"A Remotion component must render the same output every time it is called with the same frame number. Do not mutate module-level state, accumulate values across renders, or rely on component lifecycle order — frames may render out of order or in separate processes.","Compute every visual value purely from frame, props, and useVideoConfig — no accumulated or external mutable state",Increment a counter in module scope or a ref across renders to track 'how far the animation has gotten',const frame = useCurrentFrame(); const progress = frame / totalFrames; // pure function of frame,"let globalProgress = 0; function MyVideo() { globalProgress += 0.01; return <div style={{ opacity: globalProgress }} />; } // depends on call order, breaks under parallel rendering",Critical,https://www.remotion.dev/docs/the-fundamentals
17,Determinism,No Real-Time CSS Transitions or Animations,"CSS transition and @keyframes animation both run on wall-clock time, which does not exist consistently across independently captured frames. Every animated property must instead be computed inline from useCurrentFrame() via interpolate() or spring().",Compute animated style values inline from the current frame on every render,Rely on CSS `transition` or `animation` properties for any motion that must appear in the rendered video,"style={{ opacity: interpolate(frame, [0, 30], [0, 1], { extrapolateLeft: 'clamp' }) }}",style={{ transition: 'opacity 1s' }} // headless frame capture takes a single snapshot per frame; CSS transition timing is irrelevant,Critical,https://www.remotion.dev/docs/use-current-frame
18,Preview,Player Component for Interactive Web Embeds,"Use @remotion/player's <Player> component to embed an interactive, scrubbable preview of a composition inside a regular React app (outside the Remotion Studio). It supports controls, autoPlay, loop, and is fully decoupled from server-side rendering.",Embed <Player component={MyVideo} durationInFrames={} fps={} compositionWidth={} compositionHeight={} /> for in-app previews,Try to render Remotion compositions directly as normal React components outside Player and expect timeline scrubbing to work,import { Player } from '@remotion/player'; <Player component={MyVideo} durationInFrames={150} fps={30} compositionWidth={1920} compositionHeight={1080} controls />,"<MyVideo /> // renders once at frame 0 with no timeline, no scrubbing, no playback controls",Medium,https://www.remotion.dev/docs/player
19,Rendering,renderMedia/renderStill for Server-Side Output,"Use the @remotion/renderer Node.js APIs (renderMedia for video, renderStill for a single frame) or the `npx remotion render` CLI to produce final output files. These run in a headless Chromium instance separate from the interactive Studio/Player.",Use renderMedia() or the CLI for producing final MP4/image output in a build or server pipeline,Try to export video by screen-recording the Player or Studio preview,"await renderMedia({ composition, serveUrl, codec: 'h264', outputLocation: 'out/video.mp4' });","// Screen-recording the browser preview loses frame-accurate timing, audio sync, and resolution fidelity",High,https://www.remotion.dev/docs/render
20,Rendering,Set Concurrency to Match Available CPU Cores,"renderMedia() renders frames in parallel across multiple headless browser tabs; concurrency defaults to roughly half the CPU core count. Raise it on render-farm machines with many cores, and lower it on memory-constrained containers where too many parallel Chromium tabs cause OOM crashes.",Tune the concurrency option to the actual CPU/memory budget of the render environment,Leave concurrency at an arbitrary high fixed number that OOMs the render container,"await renderMedia({ ..., concurrency: os.cpus().length - 1 }); // scale to real core count","await renderMedia({ ..., concurrency: 32 }); // fixed value crashes a 4-core, 2GB render container",High,https://www.remotion.dev/docs/terminology/concurrency
21,Rendering,Heavy Per-Frame Computation Must Be Memoized,"Every frame triggers a fresh render of the component tree. Expensive computation (parsing large datasets, generating paths, sorting) inside the render body runs once per frame, not once per composition — memoize it with useMemo keyed on the inputs that actually change.",Wrap expensive derived data in useMemo so it only recomputes when its real dependencies change,Re-run expensive parsing or sorting logic directly in the component body on every frame,"const points = useMemo(() => computeChartPath(data), [data]);",const points = computeChartPath(data); // recalculated on every single frame of a 300-frame render,Medium,https://www.remotion.dev/docs/the-fundamentals
22,Effects,@remotion/transitions for Cross-Sequence Transitions,"Use the @remotion/transitions package's <TransitionSeries> for fades, wipes, and slides between sequential scenes instead of hand-rolling opacity/transform overlap logic between adjacent <Sequence> components.","Compose scene transitions with <TransitionSeries.Sequence> and a named presentation (fade, wipe, slide)",Manually overlap two <Sequence> ranges and hand-tune opacity crossfade math for every transition,<TransitionSeries><TransitionSeries.Sequence durationInFrames={60}><SceneA /></TransitionSeries.Sequence><TransitionSeries.Transition presentation={fade()} timing={linearTiming({ durationInFrames: 20 })} /><TransitionSeries.Sequence durationInFrames={60}><SceneB /></TransitionSeries.Sequence></TransitionSeries>,// Hand-tuned overlapping Sequence ranges with manually interpolated crossfade opacity per scene pair,Low,https://www.remotion.dev/docs/transitions
23,Effects,@remotion/lottie for After Effects Animations,"Play Lottie/Bodymovin JSON exports (e.g. from After Effects) frame-accurately with the <Lottie> component from @remotion/lottie, which syncs playback to Remotion's frame number instead of real time.",Use <Lottie animationData={} /> from @remotion/lottie so playback stays frame-synced with the rest of the composition,Embed a generic web Lottie player library that animates on its own internal real-time clock,import { Lottie } from '@remotion/lottie'; <Lottie animationData={animationJson} />,"import Lottie from 'lottie-react'; <Lottie animationData={animationJson} autoplay /> // plays on wall-clock time, desyncs from the rendered frame",Medium,https://www.remotion.dev/docs/lottie
24,Effects,@remotion/captions for Auto-Generated Subtitles,"Use the @remotion/captions and @remotion/install-whisper-cpp packages to generate word-level timed caption data, then render captions as frame-driven text overlays instead of burning in a static subtitle track.",Generate word-level caption timing data and drive caption visibility per-word from useCurrentFrame(),Hardcode subtitle text and timing by manually guessing frame ranges for each line,"const currentCaptions = getCurrentCaptions(captions, frame, fps); // per-frame lookup from generated timing data","<Sequence from={140}>{'Hardcoded subtitle line'}</Sequence> // manually guessed timing, drifts as content changes",Low,https://www.remotion.dev/docs/captions
25,Fonts,Wait for Fonts to Load Before Rendering,"Custom fonts must be fully loaded before a frame is captured, or text renders in a fallback font. Use @remotion/google-fonts for Google Fonts (which handles this automatically) or delayRender()/continueRender() around document.fonts.load() for self-hosted fonts.","Use @remotion/google-fonts, or delay rendering until document.fonts.load() resolves for custom fonts",Assume a @font-face declaration is loaded by the time the first frame is captured,import { loadFont } from '@remotion/google-fonts/Inter'; const { fontFamily } = loadFont();,// @font-face { font-family: 'Custom'; src: url(...) } with no load-wait — first frames render in the fallback font,High,https://www.remotion.dev/docs/fonts
26,Performance,GPU Rendering Backend for WebGL/Canvas-Heavy Scenes,"Compositions using WebGL (Three.js, Skia) or heavy canvas drawing render significantly faster and more reliably with a hardware GPU backend (--gl=angle or a platform-specific flag) than with the default software rasterizer, and avoid GPU-driver crashes common on some Linux render hosts.",Select an explicit --gl backend appropriate to the render host and test it before scaling out a render farm,Leave the OpenGL backend at its default on a Linux render host without verifying it handles the composition's WebGL content correctly,npx remotion render MyComp out.mp4 --gl=angle,// default GL backend on a headless Linux worker silently produces black frames for a WebGL-heavy composition,Medium,https://www.remotion.dev/docs/gpu
27,Performance,prefetch for Large Player Assets,"In an interactive <Player>, call prefetch() from 'remotion' for large videos or images before playback starts, so the browser has them cached instead of stalling the timeline on first access.",Prefetch large media assets ahead of the moment they first appear in the Player timeline,Let the Player fetch a large video for the first time exactly when playback reaches its Sequence,const { waitUntilDone } = prefetch(staticFile('background.mp4')); await waitUntilDone();,// No prefetch — Player stalls or shows a blank frame the instant playback reaches the video's Sequence,Low,https://www.remotion.dev/docs/prefetch
